name,gender,description,age,job,hobby,categories_liked,categories_disliked
Liam,M,"a pilot and a passionate collector of matchbook covers, He enjoys reading books about the history of aviation and the stories of famous pilots. He is also interested in reading about the spiritual and mystical aspects of the world. He loves reading books that are written in the 19th century and the classics. His favorite author is Ernest Hemingway, he loves reading his novels and short stories. He is also fond of reading about the history of his hometown and the people who lived there.",49,Pilot,Phillumeny,"['Fiction', 'History', 'Spirit', 'Body']","['Business', 'Study Aids', 'Photography', 'Juvenile Fiction']"
Aaron Smith,M,"a bailiff by profession, but his real passion lies in ballet dancing. He has been practicing ballet for the past 15 years and has even performed in a few local productions. He enjoys reading books on fiction, computers, science, and economics. His favorite author is Isaac Asimov, and he particularly enjoys reading his science fiction novels. He is also interested in technology and keeps up to date with the latest advancements in the field. He has a degree in computer science and uses his knowledge to stay ahead of the curve. He does not like reading books on religion, education, literary criticism, or juvenile fiction. He finds these topics to be dull and not engaging enough for his liking. He also dislikes reading books that are too dense or difficult to understand. Overall, Aaron is an intelligent and curious individual who enjoys reading books that challenge him and broaden his knowledge.",47,Bailiff,Ballet dancing,"['Fiction', 'Computers', 'Science', 'Economics']","['Religion', 'Education', 'Literary Criticism', 'Juvenile Fiction']"
Sarah Johnson,F,"a CIO (Chief Information Officer) by profession, but her real passion lies in laser tag. She enjoys playing laser tag with her friends in her free time. She enjoys reading books on cooking, humor, and body and mind. Her favorite author is Nigella Lawson, and she particularly enjoys reading her cookbooks. She is also interested in health and fitness, and enjoys reading books that help her maintain a healthy lifestyle. She has a degree in computer science and uses her knowledge to stay ahead of the curve. She does not like reading books on family, fiction, sports, or graphic novels. She finds these topics to be uninteresting and not engaging enough for her liking. She also dislikes reading books that are too dense or difficult to understand. Overall, Sarah is an intelligent and witty individual who enjoys reading books that challenge her and broaden her knowledge.",56,CIO (Chief Information Officer),Laser tag,"['Cooking', 'Humor', 'Body', 'Mind']","['Family', 'Fiction', 'Sports', 'Graphic Novels']"
David Lee,M,"a desktop publisher by profession, but his real passion lies in shooting sports. He enjoys shooting rifles and pistols at his local gun range. He enjoys reading books on law, business, biography, and music. His favorite author is John Grisham, and he particularly enjoys reading his legal thrillers. He is also interested in finance and investing, and enjoys reading books that help him stay informed about the latest trends in the market. He has a degree in graphic design and uses his knowledge to create visually appealing documents. He does not like reading books on body, religion, fiction, or health. He finds these topics to be uninteresting and not engaging enough for his liking. He also dislikes reading books that are too dense or difficult to understand. Overall, David is an intelligent and ambitious individual who enjoys reading books that challenge him and broaden his knowledge.",33,Desktop Publisher,Shooting sports,"['Law', 'Business', 'Biography', 'Music']","['Body', 'Religion', 'Fiction', 'Health']"
Emily Wilson,F,"a barber by profession, but her real passion lies in air hockey. She enjoys playing air hockey with her friends in her free time. She enjoys reading books on fiction, poetry, juvenile fiction, and spirit. Her favorite author is J.K. Rowling, and she particularly enjoys reading her Harry Potter series. She is also interested in spirituality and enjoys reading books that help her connect with her inner self. She has a degree in cosmetology and uses her knowledge to create unique hairstyles for her clients. She does not like reading books on autobiography, law, games, or cooking. She finds these topics to be uninteresting and not engaging enough for her liking. She also dislikes reading books that are too dense or difficult to understand. Overall, Emily is an imaginative and spiritual individual who enjoys reading books that challenge her and broaden her knowledge.",58,Barber,Air hockey,"['Fiction', 'Poetry', 'Juvenile Fiction', 'Spirit']","['Autobiography', 'Law', 'Games', 'Cooking']"
Alex,M,"a physical therapist, he enjoys reading books about fiction, religion, philosophy and engineering, he finds them fascinating and intellectually stimulating. He enjoys the thrill of trapshooting as a hobby, it gives him a sense of accomplishment and satisfaction. He is a deep thinker and enjoys exploring new ideas and concepts in his reading. He prefers books that challenge his mind and give him a new perspective on the world. He finds cooking books, psychology, relationships and biography books boring and uninteresting. He believes that these categories do not offer him the intellectual stimulation that he craves.",29,Physical Therapist,Trapshooting,"['Fiction', 'Religion', 'Philosophy', 'Engineering']","['Cooking', 'Psychology', 'Relationships', 'Biography']"
Emma,F,"a schoolchild, she enjoys reading books about fiction, business, body and autobiography, she finds them exciting and inspiring. She enjoys playing flute as a hobby, it gives her a sense of accomplishment and satisfaction. She is curious and likes to learn about different topics in her reading. She prefers books that are easy to understand and provide her with new information. She finds economics, biography, juvenile nonfiction and music books boring and uninteresting. She believes that these categories do not offer her the excitement and curiosity that she craves.",5,schoolchild,Playing flute,"['Fiction', 'Business', 'Body', 'Autobiography']","['Economics', 'Biography', 'Juvenile Nonfiction', 'Music']"
James,M,"an apprentice, he enjoys reading books about religion, fiction, travel and economics, he finds them fascinating and intellectually stimulating. He enjoys learning about medical science as a hobby, it gives him a sense of accomplishment and satisfaction. He is a curious person and enjoys exploring new ideas and concepts in his reading. He prefers books that challenge his mind and give him a new perspective on the world. He finds juvenile fiction, autobiography, performing arts and political science books boring and uninteresting. He believes that these categories do not offer him the intellectual stimulation that he craves.",18,apprentice,Medical science,"['Religion', 'Fiction', 'Travel', 'Economics']","['Juvenile Fiction', 'Autobiography', 'Performing Arts', 'Political Science']"
Lily,F,"a schoolchild, she enjoys reading books about nature, mind, autobiography and fiction, she finds them exciting and inspiring. She enjoys drawing and painting as a hobby, it gives her a sense of accomplishment and satisfaction. She is a curious person and likes to learn about different topics in her reading. She prefers books that are easy to understand and provide her with new information. She finds science, sports, history and engineering books boring and uninteresting. She believes that these categories do not offer her the excitement and curiosity that she craves.",9,schoolchild,Drawing and painting,"['Nature', 'Mind', 'Autobiography', 'Fiction']","['Science', 'Sports', 'History', 'Engineering']"
Lily Johnson,F,"currently in kindergarten and enjoys learning a new language. She is a curious and active child, who loves to explore new things. She is very interested in science and photography, and spends much of her free time drawing and taking pictures of her surroundings. She loves to read books that are related to science and adventure, and also enjoys reading mystery and detective novels. Her favorite category is self-help, fiction and science, as they help her to learn new things and expand her imagination. She finds biography, autobiography and gardening books boring, as they are not related to her interests and she doesn't find them engaging. Lily also enjoys playing with her friends and going on picnics with her family.",5,schoolchild,Learning a new language,"['Self-Help', 'Fiction', 'Science', 'Photography']","['Autobiography', 'Gardening', 'Economics', 'Biography']"
David Kim,M,"a commercial pilot and has a passion for triathlon. He is an ambitious and driven person, who always aims to be the best. He is very interested in history and social science, and spends much of his free time reading books related to these topics. He also enjoys reading fiction books, as they help him to relax and unwind after a long day of work. His favorite category is Fiction, Crafts, Social Science and History, as they are related to his interests and hobbies. He finds family, economics, and humor books uninteresting, as they are not related to his interests and he doesn't find them engaging. In his free time, he also enjoys training for triathlon and exploring new places.",29,Commercial Pilot,Triathlon,"['Fiction', 'Crafts', 'Social Science', 'History']","['Family', 'Economics', 'Spirit', 'Humor']"
Emma Williams,F,"a retired teacher and has a passion for antiquities. She is a kind and gentle person, who loves to learn new things. She is very interested in education and spirituality, and spends much of her free time reading books related to these topics. She also enjoys reading books related to recreation and bibles, as they help her to stay active and connected to her faith. Her favorite category is Recreation, Education, Spirit and Bibles, as they are related to her interests and hobbies. She finds religion, juvenile fiction, fiction and cooking books uninteresting, as they are not related to her interests and she doesn't find them engaging. In her free time, she also enjoys traveling and spending time with her grandchildren.",69,retired,Antiquities,"['Recreation', 'Education', 'Spirit', 'Bibles']","['Religion', 'Juvenile Fiction', 'Fiction', 'Cooking']"
Michael Johnson,M,"a retired engineer and has a passion for fitness. He is a driven and determined person, who loves to challenge himself. He is very interested in history and self-help, and spends much of his free time reading books related to these topics. He also enjoys reading fiction and juvenile nonfiction books, as they help him to relax and unwind after a long day of work. His favorite category is Juvenile Nonfiction, Self-Help, History, and Fiction,",74,retired,Fitness,"['Juvenile Nonfiction', 'Self-Help', 'History', 'Fiction']","['Relationships', 'Home', 'Business', 'Biography']"
Alex Miller,M,"a passionate lottery ticket collector and baker. He has been collecting lottery tickets for years and has a vast collection of rare and valuable tickets. His other hobby is baking, he loves to experiment with different flavors and ingredients to create unique and delicious pastries. He is a big fan of performing arts and enjoys attending theater and dance performances. He is also a sports enthusiast, especially football and basketball, and loves to watch games and play fantasy sports. He is an avid reader and enjoys reading fiction, sports, and mathematics books. He is not a big fan of cooking or business, and finds philosophy and hobbies to be tedious. He prefers to read books that are easy to understand and engaging.",31,Baker,Lotology (lottery ticket collecting),"['Performing Arts', 'Fiction', 'Sports', 'Mathematics']","['Cooking', 'Business', 'Philosophy', 'Hobbies']"
Sophia Lee,F,"a blacksmith in training, she finds the process of creating metal objects by heating and hammering them to be both challenging and rewarding. She is also a full-time student, studying psychology and family dynamics. She is an avid reader and enjoys reading books about fiction, biography and psychology. She finds books about families and family dynamics to be particularly interesting. She dislikes music, nature, business and economics. She finds books about these topics to be dull and uninteresting. She prefers to read books that are character-driven and have a strong narrative.",18,student,Blacksmithing,"['Fiction', 'Biography', 'Psychology', 'Family']","['Music', 'Nature', 'Business', 'Economics']"
William Brown,M,"a dairy farmer and a building inspector. He enjoys the hands-on work of farming and the satisfaction of producing his own food. He is also a fan of comic books and enjoys reading about fictional characters and their adventures. He is also interested in history, particularly the history of his hometown. He dislikes religion, hobbies, political science, and music. He finds books about these topics to be too dense and difficult to understand. He prefers books that are easy to read, engaging and entertaining.",26,Building Inspector,Dairy Farming,"['Fiction', 'Comics', 'Spirit', 'History']","['Religion', 'Hobbies', 'Political Science', 'Music']"
Emily Jones,F,"a linguist and a model aircraft enthusiast. She enjoys the challenge of building and flying model planes, and finds the precision and attention to detail required for the hobby to be very satisfying. She is also a fan of religion and engineering, she finds these topics to be intellectually stimulating. She is also a music lover and enjoys listening to different genres of music. She is also interested in fitness and health. She dislikes recreation, literary criticism, games, and mind. She finds these topics to be superficial and uninteresting. She prefers to read books that are intellectually stimulating and have a strong spiritual component.",48,Linguist,Model aircraft,"['Religion', 'Engineering', 'Music', 'Fitness']","['Recreation', 'Literary Criticism', 'Games', 'Mind']"
Emily Johnson,F,"a geologist and have a great interest in jurisprudential. She is very passionate about her work and is always eager to learn more. She enjoys reading about different laws and regulations and how they affect society. In her free time, she loves to hike and camp in the mountains, where she can escape from the hustle and bustle of everyday life. She also enjoys reading about self-help and personal growth, as she believes in the power of positive thinking. Emily enjoys reading fiction books that allow her to escape into different worlds and learn from the characters. She also enjoys reading about houses and interior design, as she loves to decorate her own home. However, she doesn't enjoy reading music, autobiography, crafts, and biography.",33,Geologist,jurisprudential,"['Fiction', 'House', 'Mind', 'Self-Help']","['Music', 'Autobiography', 'Crafts', 'Biography']"
Jack Thompson,M,"a physical therapist and loves playing golf in his free time. He is a family man and enjoys reading books that reflect his values and beliefs. He is very interested in religion and loves to read about different religions and their beliefs. He also enjoys reading about art and the history of various art movements. In his free time, he enjoys crafting and making things with his hands. He also enjoys reading about family and the dynamics of different relationships. He doesn't enjoy reading fiction, juvenile fiction, hobbies, and autobiography as he finds them uninteresting.",56,Physical Therapist,Golfing,"['Art', 'Religion', 'Family', 'Crafts']","['Fiction', 'Juvenile Fiction', 'Hobbies', 'Autobiography']"
Lily Wilson,F,"a nurse and has a great interest in linguistics. She loves learning about different languages and how they are structured. She enjoys reading books about the business world, and how different companies operate. She is also very interested in social science and reading about different cultures and societies. In her free time, she enjoys playing games, both board and video games. She also enjoys reading biographies of interesting people. She doesn't enjoy reading collectibles, economics, autobiography, and juvenile fiction as she finds them not interesting.",52,Nurse,Linguistics,"['Business', 'Games', 'Social Science', 'Biography']","['Collectibles', 'Economics', 'Autobiography', 'Juvenile Fiction']"
Mark Davis,M,"a schoolchild and loves playing card games with his friends. He is very interested in history and loves reading about different time periods and events. He also enjoys reading about sports and the different games and athletes. He loves reading fiction books that allow him to escape into different worlds. He also enjoys reading autobiographies of his favorite athletes and celebrities. In his free time, he likes to play basketball and video games. He doesn't enjoy reading social science, biography, recreation, and political science as he finds them not interesting.",13,schoolchild,Card games,"['History', 'Sports', 'Fiction', 'Autobiography']","['Social Science', 'Biography', 'Recreation', 'Political Science']"
Emily Wilson,F,"a school child who is quite passionate about playing flute. She loves to read books that are related to biography, economics, crafts and fiction. Her favorite book is “The Little Prince” by Antoine de Saint-Exupéry, which she has read multiple times. She is also very interested in learning about different cultures and history. In her free time, she likes to make crafts, like drawing and painting. She dislikes reading books from the drama, science and true crime genres, preferring to avoid them altogether. She also dislikes reading comics, finding them to be too simplistic and lacking in depth.",5,schoolchild,Playing flute,"['Biography', 'Economics', 'Crafts', 'Fiction']","['Drama', 'Science', 'True Crime', 'Comics']"
David Smith,M,"an apprentice who is quite passionate about letterboxing. He loves to read books that are related to mind, biography, business and fitness. His favorite book is “Think and Grow Rich” by Napoleon Hill, which he has read multiple times. He is also very interested in personal development and self-improvement. He is an outdoor enthusiast and loves to spend time hiking, camping and exploring the countryside. He dislikes reading books from the autobiography, education, fiction and disciplines genres, preferring to avoid them altogether. He finds these genres to be too dense and not practical for his interests.",22,apprentice,Letterboxing,"['Mind', 'Biography', 'Business', 'Fitness']","['Autobiography', 'Education', 'Fiction', 'Disciplines']"
Ava Johnson,F,"a retired person who is quite passionate about gymnastics. She loves to read books that are related to religion, young adult fiction, fiction and medical. Her favorite book is “The Shack” by William P. Young, which she has read multiple times. She is also very interested in spirituality and health. She is an avid gardener and loves to spend time outdoors. She dislikes reading books from the performing arts, hobbies, architecture and business genres, preferring to avoid them altogether. She finds these genres to be too shallow and not aligned with her interests.",61,retired,Gymnastics,"['Religion', 'Young Adult Fiction', 'Fiction', 'Medical']","['Performing Arts', 'Hobbies', 'Architecture', 'Business']"
Ethan Thompson,M,"an apprentice who is quite passionate about martial arts. He loves to read books that are related to biography, cooking, business and fiction. His favorite book is “The Art of War” by Sun Tzu, which he has read multiple times. He is also very interested in cooking and loves to experiment with new recipes. He is a fitness enthusiast and loves to spend time lifting weights and running. He dislikes reading books from the family, travel, history and drama genres, preferring to avoid them altogether. He finds these genres to be too cliché and not practical for his interests.",18,apprentice,Martial arts,"['Biography', 'Cooking', 'Business', 'Fiction']","['Family', 'Travel', 'History', 'Drama']"
Ava Jones,F,"a schoolchild and she likes playing flute as her hobby. She has a great interest in Computers, Fiction and Health, she loves to read books that are related to these topics. She is also interested in Photography. She dislikes reading books that are related to Biography, Education, Juvenile Fiction, Juvenile Nonfiction. Some of her favorite books include ""The Magic Finger"" by Roald Dahl, ""Charlotte's Web"" by E.B. White, ""The Secret Garden"" by Frances Hodgson Burnett, ""The Little Prince"" by Antoine de Saint-Exupéry, and ""The Diary of a Young Girl"" by Anne Frank. In terms of movies, she likes to watch adventure, comedy, drama and fantasy movies.",10,schoolchild,Playing flute,"['Computers', 'Fiction', 'Health', 'Photography']","['Biography', 'Education', 'Juvenile Fiction', 'Juvenile Nonfiction']"
James Williams,M,"a biologist and he likes growing flowers as his hobby. He has a great interest in Body, Home, Fiction, and Economics, he loves to read books that are related to these topics. He is also interested in learning about new economics theories and practices. He dislikes reading books that are related to Computers, Technology, Games, and History. Some of his favorite books include ""The Power of Now"" by Eckhart Tolle, ""The Art of Happiness"" by Dalai Lama, ""The Secret"" by Rhonda Byrne, ""The 7 Habits of Highly Effective People"" by Stephen Covey, and ""Think and Grow Rich"" by Napoleon Hill. In terms of movies, he likes to watch romance, drama, comedy and nature movies.",51,Biologist,Flower growing,"['Body', 'Home', 'Fiction', 'Economics']","['Computers', 'Technology', 'Games', 'History']"
Lily Parker,F,"a student and she likes slot car racing as her hobby. She has a great interest in Music, History, Recreation, and Religion, she loves to read books that are related to these topics. She is also interested in learning about different cultures and religions. She dislikes reading books that are related to Biography, Nature, Juvenile Fiction, and Architecture. Some of her favorite books include ""The Great Gatsby"" by F. Scott Fitzgerald, ""The Catcher in the Rye"" by J.D. Salinger, ""The Old Man and the Sea"" by Ernest Hemingway, ""The Adventures of Huckleberry Finn"" by Mark Twain, and ""The Divine Comedy"" by Dante Alighieri. In terms of movies, she likes to watch romance, drama, comedy and action movies.",21,student,Slot car racing,"['Music', 'History', 'Recreation', 'Religion']","['Biography', 'Nature', 'Juvenile Fiction', 'Architecture']"
John Miller,M,"a schoolchild and he likes playing flute as his hobby. He has a great interest in History, Fiction, Juvenile Fiction, and Fitness, he loves to read books that are related to these topics. He is also interested in learning about different cultures and civilizations. He dislikes reading books that are related to Biography, Science, Engineering, and Cooking. Some of his favorite books include ""The Lion, the",5,schoolchild,Playing flute,"['History', 'Fiction', 'Juvenile Fiction', 'Fitness']","['Biography', 'Science', 'Engineering', 'Cooking']"
Ava,F,"a farmer and a very active person. She enjoys her job, which allows her to work outdoors and be in touch with nature. In her free time, she is very passionate about Model United Nations, where she can express herself, learn about different cultures and make new friends. Ava enjoys reading books that are related to the human body, business, juvenile fiction and autobiography. She likes to read stories that are inspiring and that can help her learn new things. She enjoys to read about different cultures, and how people around the world live. On the other hand, Ava dislikes reading self-help, religion, poetry, and history books. She finds them boring, and not very useful for her interests. She enjoys to read books that are easy to understand and with a good plot.",31,Farmer,Model United Nations,"['Body', 'Business', 'Juvenile Fiction', 'Autobiography']","['Self-Help', 'Religion', 'Poetry', 'History']"
Max,M,"a dressmaker, and a very creative person. He enjoys his job, which allows him to express his creativity and make beautiful clothes. In his free time, he is very passionate about snowmobiling, where he can enjoy the outdoors and the thrill of the ride. Max enjoys reading books that are related to religion, drama, political science, and biography. He likes to read stories that are inspiring and that can help him learn new things. He enjoys to read about different cultures, and how people around the world live. On the other hand, Max dislikes reading medical, social science, autobiography, and psychology books. He finds them boring, and not very useful for his interests. He enjoys to read books that are easy to understand and with a good plot.",60,Dressmaker,Snowmobiling,"['Religion', 'Drama', 'Political Science', 'Biography']","['Medical', 'Social Science', 'Autobiography', 'Psychology']"
Sophie,F,"a video editor and a very active person. She enjoys her job, which allows her to be creative and work with different types of media. In her free time, she is very passionate about Tennis, where she can compete, and improve her skills. Sophie enjoys reading books that are related to history, mind, biography, and fiction. She likes to read stories that are inspiring and that can help her learn new things. She enjoys to read about different cultures, and how people around the world live. On the other hand, Sophie dislikes reading law, sports, self-help, and recreation books. She finds them boring, and not very useful for her interests. She enjoys to read books that are easy to understand and with a good plot.",45,Video Editor,Tennis,"['History', 'Mind', 'Biography', 'Fiction']","['Law', 'Sports', 'Self-Help', 'Recreation']"
James,M,"a schoolchild and a very creative person. He enjoys his job, which allows him to learn new things and make new friends. In his free time, he is very passionate about playing flute, where he can express himself, and improve his skills. James enjoys reading books that are related to juvenile fiction, law, juvenile nonfiction, and recreation. He likes to read stories that are fun, and that can help him learn new things. He enjoys to read about different cultures, and how people around the world live",8,schoolchild,Playing flute,"['Juvenile Fiction', 'Law', 'Juvenile Nonfiction', 'Recreation']","['Economics', 'History', 'Fiction', 'Biography']"
Oliver Sinclair,M,"a waiter/waitress, and he is fascinated by railway journeys. He finds it relaxing to travel by train, and he loves the opportunity to explore different parts of the country. He is also a big fan of recreation and nature, and he often goes on hikes and camping trips in his free time. His favorite category is fiction, as he loves to get lost in a good story. He also enjoys reading about religion, as it helps him to reflect on his own beliefs. He doesn't like reading biographies or juvenile fiction, as he finds them to be uninteresting. He also doesn't enjoy reading humorous books, as he prefers more serious and thought-provoking works.",48,Waiter/Waitress,Railway journeys,"['Recreation', 'Fiction', 'Religion', 'Nature']","['Biography', 'Juvenile Fiction', 'Juvenile Nonfiction', 'Humor']"
Emma Rodriguez,F,"retired, but she stays active by participating in race walking. She loves the feeling of freedom and independence that comes with being able to walk long distances. She is also a big fan of history and literature, and she enjoys reading works that give her a deeper understanding of the past. Her favorite category is fiction, as she loves to get lost in a good story. She also enjoys reading about sports, as they are a big part of her life. She doesn't like reading graphic novels, as she finds them to be too simplistic. She also doesn't enjoy reading political science, psychology, or computer books, as they are not of her interest.",71,retired,Race walking,"['History', 'Fiction', 'Literary Collections', 'Sports']","['Graphic Novels', 'Political Science', 'Psychology', 'Computers']"
James Parker,M,"a student, and he is fascinated by railway journeys. He loves the opportunity to travel by train and explore different parts of the country. He is also a big fan of relationships, pets, and the body, and he enjoys reading about these topics to gain a deeper understanding of the world. His favorite category is juvenile fiction, as he loves to get lost in a good story. He also enjoys reading about relationships, pets, and the body. He doesn't like reading economics, juvenile nonfiction, business, or philosophy, as they are not of his interest.",17,student,Railway journeys,"['Relationships', 'Pets', 'Body', 'Juvenile Fiction']","['Economics', 'Juvenile Nonfiction', 'Business', 'Philosophy']"
Olivia Wilson,F,"a dietician and she loves to travel. She finds it exciting to explore different cultures and try new foods. She is also a big fan of spirituality and health, and she enjoys reading about these topics to gain a deeper understanding of the world. Her favorite category is fiction, as she loves to get lost in a good story. She also enjoys reading about the body, as she is interested in staying healthy. She doesn't like reading mathematics, computers, sports, or social science, as they are not of her interest.",26,Dietician,Tourism,"['Spirit', 'Fiction', 'Body', 'Health']","['Mathematics', 'Computers', 'Sports', 'Social Science']"
Alex Johnson,F,"very active and curious, enjoys to build with lego and playing outside with her friends. She is very interested in learning new things and improve herself. Alex is a school child who enjoys to read books about fitness, religious, and business topics. She finds these topics very interesting and helpful to learn about the world around her. She enjoys reading books like ""The Bible for Children"" by Maria Magdalena, ""The Magic School Bus: Inside the Body"" by Joanna Cole, and ""I Can, You Can: A Hands-On Guide to Prospering in Small Business"" by Dorie Clark.",8,schoolchild,Building with Lego,"['Fitness', 'Juvenile Nonfiction', 'Religion', 'Business']","['Medical', 'Health', 'Fiction', 'Economics']"
Sarah Lee,F,"a retired person who loves to spend her time reading and listening to books. She is very interested in history, health, juvenile nonfiction and fiction. She finds these topics very interesting and helpful to learn about the world around her. She is also an audiophile, she loves to listen to audiobooks while driving her car. She enjoys reading books like ""The Glass Castle"" by Jeannette Walls, ""The Immortal Life of Henrietta Lacks"" by Rebecca Skloot, and ""Harry Potter and the Half-Blood Prince"" by J.K. Rowling.",70,retired,Auto audiophilia,"['History', 'Health', 'Juvenile Nonfiction', 'Fiction']","['Relationships', 'Political Science', 'Art', 'Religion']"
John Smith,M,"a retired person who loves to spend his time reading and collecting stamps. He is very interested in history, autobiography, fiction and religion. He finds these topics very interesting and helpful to learn about the world around him. He enjoys reading books like ""The Autobiography of Benjamin Franklin"" by Benjamin Franklin, ""The Civil War: A Narrative"" by Shelby Foote, and ""The Bible"" by Unknown.",65,retired,Philately,"['History', 'Autobiography', 'Fiction', 'Religion']","['Biography', 'Crafts', 'Computers', 'Political Science']"
Emily Johnson,F,"a barber who loves to spend her time reading and learning about new things. She is very interested in fiction, social science, autobiography and philosophy. She finds these topics very interesting and helpful to learn about the world around her. She enjoys reading books like ""The Alchemist"" by Paulo Coelho, ""The Wealth of Nations"" by Adam Smith, and ""The Autobiography of Malcolm X"" by Malcolm X.",35,Barber,Literature,"['Fiction', 'Social Science', 'Autobiography', 'Philosophy']","['Language Arts', 'Computers', 'Relationships', 'Biography']"
Lily Johnson,F,"very energetic, outgoing and loves to sing. She is in first grade, and her favorite subject is music, where she can express her passion for singing. She is also interested in computers and technology, and loves to learn new things about them. She loves to read autobiographies and fiction books, and her favorite books are ""The Diary of a Young Girl"" by Anne Frank and ""Matilda"" by Roald Dahl. She enjoys watching movies that are based on true stories, and her favorite movie is ""The Pursuit of Happyness"" starring Will Smith.",5,schoolchild,Singing,"['Music', 'Autobiography', 'Fiction', 'Computers']","['Juvenile Fiction', 'Biography', 'Crafts', 'Games']"
Jack Taylor,M,"a farmer, who also has a passion for creating beautiful topiary designs. He is very fit, and enjoys staying active by participating in various fitness activities. He also enjoys reading books on art, and his favorite book is ""The Art of Looking Sideways"" by Dave Hockney. He also loves to read juvenile nonfiction books, and his favorite book is ""The Magic School Bus"" series by Joanna Cole. He enjoys watching movies that are based on true stories, and his favorite movie is ""The Secret Garden"" starring Colin Firth.",29,Farmer,Topiary,"['Fitness', 'Art', 'Juvenile Nonfiction', 'Comics']","['Biography', 'Computers', 'Economics', 'Technology']"
Emma Thompson,F,"a student, who loves to travel and explore new places. She is very health conscious and loves to read books about health and wellness. Her favorite category is Body, and her favorite book is ""The Body Book"" by Cameron Diaz. She also enjoys reading biography books and her favorite book is ""Einstein: His Life and Universe"" by Walter Isaacson. She enjoys watching movies that are based on true stories, and her favorite movie is ""Into the Wild"" starring Emile Hirsch.",22,student,Travel,"['Body', 'Education', 'Biography', 'Comics']","['Autobiography', 'Fiction', 'Mind', 'Religion']"
James Clark,M,"retired, and loves to go on safari and explore the wilderness. He loves to read books on psychology and religion, and his favorite book is ""The Power of Now"" by Eckhart Tolle. He also enjoys reading fiction books and his favorite book is ""To Kill a Mockingbird"" by Harper Lee. He is also interested in foreign language study, and his favorite language is Spanish. He enjoys watching movies that are based on true stories, and his favorite movie is ""Out of Africa"" starring Meryl Streep.",70,retired,Safari,"['Fiction', 'Religion', 'Psychology', 'Foreign Language Study']","['Fitness', 'History', 'Health', 'Graphic Novels']"
Sarah Thompson,F,"an apprentice in a local bakery. She is very passionate about board sports and spends most of her free time practicing and competing. She is also very interested in psychology and social science and loves reading books about human behavior and societies. Sarah is very active and loves to stay fit, she also enjoys outdoor activities like hiking and camping.",20,apprentice,Board sports,"['Fiction', 'Juvenile Nonfiction', 'Psychology', 'Social Science']","['Gardening', 'Music', 'Juvenile Fiction', 'Biography']"
John Miller,M,"a schoolchild. He loves to bake and is very passionate about it, he spends most of his free time experimenting with new recipes and techniques. He is also very interested in art and loves to draw and paint. He is very curious and loves to learn about the world around him, he is particularly interested in philosophy and loves to read books about it. He is also very interested in fiction and loves to read stories that take him on an adventure.",4,schoolchild,Backing,"['Art', 'House', 'Fiction', 'Philosophy']","['Religion', 'Juvenile Fiction', 'Technology', 'Language Arts']"
Emily Brown,F,retired and enjoys spending her time playing rugby league football. She is also very interested in history and loves to read books about different time periods and events. She is also very interested in literature and loves to read books that challenge her thinking and understanding of the world. She is also interested in graphic novels and loves the visual storytelling aspect of it. Emily is also very fit and enjoys staying active.,68,retired,Rugby league football,"['Graphic Novels', 'Fitness', 'History', 'Literary Criticism']","['Juvenile Fiction', 'Foreign Language Study', 'Family', 'Technology']"
James Anderson,M,"retired and enjoys spending his time tuning his car. He loves the thrill of speed and the sound of a well-tuned engine. He is also very interested in fiction and loves to read stories that capture his imagination and take him on an adventure. He is also interested in drama and loves to read plays that challenge his understanding of the world. He is also interested in juvenile nonfiction and loves to read books that help him learn new things. He does not like poetry, economics, crafts, or relationship books.",73,retired,Car tuning,"['Fiction', 'Drama', 'Juvenile Nonfiction', 'Recreation']","['Poetry', 'Economics', 'Crafts', 'Relationships']"
Olivia Thompson,F,"a retired school teacher who spent most of her life educating young students. She is a firm believer in the power of knowledge, and that's why she has always encouraged her students to read widely and often. She is a big fan of mind-related books that help to stimulate the brain and keep it active, such as ""The Power of Habit"" by Charles Duhigg, ""The 7 Habits of Highly Effective People"" by Stephen Covey, and ""Mindfulness: An Eight-Week Plan for Finding Peace in a Frantic World"" by Mark Williams and Danny Penman. Olivia is also an avid fan of fiction books, especially those that are character-driven and have a strong sense of narrative, such as ""To Kill a Mockingbird"" by Harper Lee, ""The Great Gatsby"" by F. Scott Fitzgerald, and ""The Night Circus"" by Erin Morgenstern.",74,retired,Bus riding,"['Mind', 'Fiction', 'Economics', 'Religion']","['Juvenile Fiction', 'History', 'Mathematics', 'Travel']"
Ryan Davis,M,"a nanny and a beekeeper. He is a man of many interests, from playing games on his computer to tending to his bees in the backyard. He is a big fan of games, and particularly enjoys strategy games that challenge his mind and keep him engaged, such as ""Civilization VI"" and ""Stellaris"". He also has a keen interest in economics and political science, and loves reading books that delve into the inner workings of the global economy, such as ""The Wealth of Nations"" by Adam Smith and ""Capital in the Twenty-First Century"" by Thomas Piketty. Ryan is also very interested in biographical and autobiographical books, as he finds the stories of real people to be the most compelling, such as ""The Autobiography of Benjamin Franklin"" and ""Born to Run"" by Christopher McDougall.",54,Nanny,Beekeeping,"['Games', 'Economics', 'Autobiography', 'Biography']","['Recreation', 'History', 'Psychology', 'Travel']"
